horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
0;190;0;9;36;0.1493;2002650;0.24;49;7;32300;2;0;62;15;12;8;5.94;1.77;103;0.56;10.24;3480;12;3;6;0;0.0;0
1;124;1;6;8;0.0163;4028927;0.16;66;21;70682;2;0;57;9;9;3;21.54;3.51;90;0.37;80.48;335;12;3;1;1;21.54;1
2;119;0;8;62;0.5932999999999999;4916665;0.4;27;8;67351;2;0;73;29;6;4;1.85;1.24;90;0.53;3.27;5475;12;3;3;0;0.0;1
3;191;0;10;85;0.0014000000000000002;2422570;0.15;64;19;23750;2;1;102;15;12;6;102.96;13.55;132;0.32;29.40;145;12;3;99;0;0.0;0
4;192;1;8;2;0.0016;2553813;0.06;24;6;41190;2;0;62;4;7;3;134.61;16.09;133;0.23;95.25;362;14;3;7;0;0.0;0
5;30;1;7;78;0.0242;2039098;0.07;24;6;30434;2;1;67;5;5;12;20.74;3.74;17;0.33;67.13;316;3;3;4;0;0.0;0
6;118;0;10;61;0.0339;2075263;0.12;48;7;19954;2;1;104;12;16;18;13.86;2.49;89;0.44;53.84;2355;13;3;2;0;0.0;1
7;36;0;13;25;0.0007000000000000001;2361308;0.2;29;6;18163;2;1;130;26;12;9;230.21;22.06;30;0.36;106.59;219;12;3;5;0;0.0;0
8;193;0;13;4;0.0015;2714419;0.13;65;6;15249;1;0;178;24;18;20;99.9;99.9;132;0.35;69.32;750;12;3;s;0;0.0;0
9;194;1;6;86;0.1108;2006000;0.32;65;6;48926;2;0;41;13;4;4;6.75;1.78;134;0.51;5.91;6675;3;3;8;0;0.0;0
10;195;1;9;81;0.0039000000000000003;2344637;0.26;64;19;55824;1;0;42;11;7;8;99.9;99.9;134;0.62;20.20;1738;3;3;s;0;0.0;0
11;115;0;10;46;0.06309999999999999;5263996;0.29;22;7;62666;2;1;84;24;14;7;7.45;2.09;86;0.54;14.31;2350;11;3;utg;0;0.0;0
0;196;2;9;4;0.0748;617000;0.13;1;13;7524;2;0;82;11;8;6;10.02;3.34;4;0.3;44.71;1335;4;4;2;0;0.0;1
1;197;2;7;27;0.0333;554100;0.09;37;13;11789;2;0;47;4;8;5;14.90;4.00;135;0.36;25.57;1924;12;4;99;0;0.0;0
2;82;2;6;2;0.3699;675600;0.09;50;7;12064;2;0;56;5;6;9;3.71;1.88;61;0.36;29.69;1910;1;4;1;1;3.71;1
3;198;2;5;6;0.0381;482351;0.15;46;11;14186;2;0;34;5;4;6;14.48;3.78;136;0.44;22.17;1360;7;4;4;0;0.0;0
4;199;2;6;87;0.2509;785900;0.24;31;11;21240;2;1;37;9;6;5;3.73;1.70;137;0.54;17.56;2260;8;4;3;0;0.0;1
